,coef,abs coef,% total,cum % total,coef OR
EpiDISH_BPRNACanProMet_M2,0.9122575656763753,0.9122575656763753,0.3335349178149034,0.3335349178149034,2.4899373902345583
EpiDISH_BPRNACanProMet_M0,-0.6402371080880866,0.6402371080880866,0.23408019759187784,0.5676151154067812,0.5271674135656045
EpiDISH_BPRNACanProMet_NK,0.27472943587112947,0.27472943587112947,0.10044516292575038,0.6680602783325316,1.3161745170763788
EpiDISH_BPRNACanProMet_B,-0.26479602557457205,0.26479602557457205,0.0968133605581509,0.7648736388906825,0.7673624563297912
EpiDISH_BPRNACanProMet_M1,0.17163165076736617,0.17163165076736617,0.06275108114963826,0.8276247200403207,1.1872404335582847
EpiDISH_BPRNACanProMet_CD8,0.16728876226370396,0.16728876226370396,0.061163256598055285,0.888787976638376,1.1820955606193855
EpiDISH_BPRNACanProMet_Neu,-0.13804241267822642,0.13804241267822642,0.05047035672810927,0.9392583333664853,0.8710617469007523
EpiDISH_BPRNACanProMet_cancer,0.1315459329465595,0.1315459329465595,0.048095147231456664,0.987353480597942,1.1405902971923279
EpiDISH_BPRNACanProMet_CD4,-0.03458973075317693,0.03458973075317693,0.012646519402058026,1.0,0.966001655741302
EpiDISH_BPRNACanProMet_Mono,0.0,0.0,0.0,1.0,1.0
