,coef,abs coef,% total,cum % total,coef OR
EpiDISH_CBSX_LM22_T.cells.CD4.memory.activated,-0.005852795066270239,0.005852795066270239,0.086570547585972,0.086570547585972,0.9941642991728215
EpiDISH_CBSX_LM22_B.cells.memory,-0.0055639178750800464,0.0055639178750800464,0.08229767345604466,0.16886822104201665,0.9944515320486639
EpiDISH_CBSX_LM22_Macrophages.M1,-0.005111939674066824,0.005111939674066824,0.07561232057496865,0.2444805416169853,0.9949011040538337
EpiDISH_CBSX_LM22_Macrophages.M2,0.004363182433317324,0.004363182433317324,0.06453721481666073,0.30901775643364604,1.0043727149728177
EpiDISH_CBSX_LM22_Dendritic.cells.resting,0.004314796596033643,0.004314796596033643,0.06382152455557606,0.3728392809892221,1.0043241187337533
EpiDISH_CBSX_LM22_Mast.cells.resting,0.004062395476240562,0.004062395476240562,0.06008817956324507,0.43292746055246717,1.0040706581897578
EpiDISH_CBSX_LM22_Macrophages.M0,0.004059169090469397,0.004059169090469397,0.060040457068305346,0.4929679176207725,1.0040674186756988
EpiDISH_CBSX_LM22_Neutrophils,-0.003826939974958399,0.003826939974958399,0.05660548258729986,0.5495734002080723,0.9961803734275356
EpiDISH_CBSX_LM22_Eosinophils,-0.003159489633883779,0.003159489633883779,0.04673301296227068,0.596306413170343,0.996845496301104
EpiDISH_CBSX_LM22_Mast.cells.activated,-0.003133565060926877,0.003133565060926877,0.04634955438369418,0.6426559675540372,0.9968713394298842
EpiDISH_CBSX_LM22_T.cells.CD8,-0.002974425626412679,0.002974425626412679,0.04399567254904531,0.6866516401030826,0.9970299935948567
EpiDISH_CBSX_LM22_B.cells.naive,-0.0026682535255568903,0.0026682535255568903,0.0394669839265127,0.7261186240295953,0.997335303098853
EpiDISH_CBSX_LM22_Dendritic.cells.activated,-0.002656700577654169,0.002656700577654169,0.03929610061096067,0.7654147246405559,0.997346825328209
EpiDISH_CBSX_LM22_T.cells.gamma.delta,0.00263970780721048,0.00263970780721048,0.03904475515538668,0.8044594797959426,1.0026431949034942
EpiDISH_CBSX_LM22_T.cells.follicular.helper,-0.0024414185055636117,0.0024414185055636117,0.03611179522262953,0.8405712750185721,0.99756155933272
EpiDISH_CBSX_LM22_Plasma.cells,0.0024066226094909297,0.0024066226094909297,0.03559711809099432,0.8761683931095664,1.0024095208502073
EpiDISH_CBSX_LM22_Monocytes,0.0021115823052365074,0.0021115823052365074,0.03123308340157986,0.9074014765111462,1.0021138132651612
EpiDISH_CBSX_LM22_NK.cells.activated,0.0019835052784504836,0.0019835052784504836,0.02933865548867584,0.9367401319998221,1.0019854737263056
EpiDISH_CBSX_LM22_T.cells.CD4.naive,-0.0015117329246328106,0.0015117329246328106,0.02236052101728632,0.9591006530171085,0.9984894091679994
EpiDISH_CBSX_LM22_NK.cells.resting,-0.0013857752541087997,0.0013857752541087997,0.020497441174843464,0.9795980941919519,0.9986151844890381
EpiDISH_CBSX_LM22_T.cells.regulatory..Tregs.,0.0010064917420369993,0.0010064917420369993,0.014887338487391823,0.9944854326793438,1.0010069984248269
EpiDISH_CBSX_LM22_T.cells.CD4.memory.resting,-0.00037282463039636836,0.00037282463039636836,0.00551456732065612,0.9999999999999999,0.9996272448600699
