Gene	V2
A1BG	299
A1CF	5154
A2M	4622
A2ML1	3857
A2MP1	2465
A3GALT2	823
A4GALT	1717
A4GNT	1579
AAAS	1465
AACS	3019
AADAC	949
AADACL3	3743
AADACP1	548
AADAT	2028
AAGAB	1642
AAK1	3438
AAMDC	350
AAMP	1314
AANAT	849
AAR2	2228
AARS1	3237
AARS2	4035
AARSD1	1012
AASDH	3083
AASDHPPT	1561
AASS	4533
AATF	1794
AATK	4292
ABAT	3422
ABCA1	9644
ABCA10	1801
ABCA11P	1434
ABCA12	9098
ABCA13	16988
ABCA2	7750
ABCA3	4552
ABCA4	3116
ABCA5	2536
ABCA6	4549
ABCA7	2851
ABCA8	4384
ABCA9	5792
ABCB1	4445
ABCB10	3669
ABCB11	2019
ABCB4	3223
ABCB6	2235
ABCB7	1771
ABCB8	2010
ABCB9	3132
ABCC1	5901
ABCC10	2928
ABCC11	3401
ABCC12	2545
ABCC13	1040
ABCC2	5606
ABCC3	3756
ABCC4	5025
ABCC5	3591
ABCC6	1567
ABCC8	1311
ABCC9	4757
ABCD1	3380
ABCD2	6090
ABCD3	3142
ABCD4	1205
ABCE1	1595
ABCF1	2526
ABCF2	4327
ABCF3	2338
ABCG1	2796
ABCG2	3479
ABCG4	3612
ABCG5	2600
ABCG8	3883
ABHD1	1062
ABHD10	1657
ABHD11	1048
ABHD11-AS1	462
ABHD12	1488
ABHD12B	650
ABHD13	5113
ABHD14A	797
ABHD14B	1588
ABHD15	3292
ABHD16A	1832
ABHD16B	1291
ABHD17A	1609
ABHD17B	1742
ABHD17C	1892
ABHD18	2641
ABHD2	3923
ABHD3	1688
ABHD4	2899
ABHD5	1781
ABHD6	1919
ABHD8	1842
ABI1	2049
ABI2	1972
ABI3	1422
ABI3BP	1760
ABITRAM	1672
ABL1	5111
ABL2	6409
ABLIM1	3811
ABLIM2	1715
ABLIM3	3695
ABO	3362
ABR	2596
ABRA	2554
ABRACL	582
ABRAXAS1	1986
ABRAXAS2	2755
ABT1	2743
ABTB1	1637
ABTB2	4705
ACAA1	1343
ACAA2	1405
ACACA	6583
ACACB	4066
ACAD10	2685
ACAD11	2810
ACAD8	2001
ACAD9	1878
ACADL	1881
ACADM	1064
ACADS	1653
ACADSB	3295
ACADVL	1245
ACAN	8276
ACAP1	1296
ACAP2	3334
ACAP3	3229
ACAT1	1251
ACAT2	1314
ACBD3	2752
ACBD4	1604
ACBD5	2650
ACBD6	1093
ACCS	1727
ACD	1325
ACE	4055
ACE2	3336
ACER1	1228
ACER3	3048
ACHE	2230
ACIN1	2499
ACKR1	983
ACKR2	2272
ACKR3	1226
ACKR4	2110
ACLY	3831
ACMSD	1056
ACO1	3569
ACO2	2474
ACOT11	2804
ACOT12	412
ACOT13	1033
ACOT2	1414
ACOT4	2162
ACOT7	1279
ACOT8	945
ACOT9	1892
ACOX1	3730
ACOX2	1543
ACOX3	2105
ACOXL	1437
ACP1	961
ACP2	1714
ACP4	1142
ACP5	1185
ACP6	1195
ACPP	1744
ACR	1230
ACRBP	1030
ACRV1	938
ACSBG1	1559
ACSBG2	1182
ACSF2	1726
ACSF3	1774
ACSL1	2851
ACSL3	2381
ACSL4	3318
ACSL5	2778
ACSL6	4762
ACSM1	1608
ACSM2A	1389
ACSM3	1849
ACSM5	2027
ACSM6	1536
ACSS1	3409
ACSS2	2100
ACSS3	3406
ACTA1	922
ACTA2	1139
ACTB	1604
ACTC1	1182
ACTG1	1176
ACTG2	1148
ACTL10	1383
ACTL6A	1110
ACTL6B	654
ACTL7A	1291
ACTL7B	1199
ACTL8	1470
ACTN1	3219
ACTN2	2878
ACTN3	2682
ACTN4	2652
ACTR10	1239
ACTR1A	2511
ACTR1B	1978
ACTR2	2650
ACTR3	1435
ACTR3B	1201
ACTR5	2347
ACTR6	1031
ACTR8	3007
ACTRT1	1237
ACTRT2	1237
ACTRT3	1471
ACVR1	2332
ACVR1B	4119
ACVR1C	3192
ACVR2A	2426
ACVR2B	9081
ACVRL1	2527
ACY1	1204
ACY3	1171
ACYP1	422
ACYP2	935
ADA	1270
ADA2	3630
ADAD1	1044
ADAD2	1179
ADAL	2440
ADAM10	1854
ADAM11	2658
ADAM12	4532
ADAM15	2501
ADAM17	3522
ADAM18	1244
ADAM19	6053
ADAM1A	1929
ADAM2	1774
ADAM20	2584
ADAM21	2447
ADAM21P1	1909
ADAM22	4001
ADAM23	4112
ADAM28	2717
ADAM29	2749
ADAM30	2783
ADAM32	1425
ADAM33	2995
ADAM3A	1772
ADAM3B	640
ADAM6	1643
ADAM7	2303
ADAM8	2310
ADAM9	3798
ADAMDEC1	2148
ADAMTS1	3243
ADAMTS10	2496
ADAMTS12	6158
ADAMTS13	2709
ADAMTS14	5357
ADAMTS15	5473
ADAMTS16	3875
ADAMTS17	2091
ADAMTS18	5633
ADAMTS19	5001
ADAMTS2	6369
ADAMTS20	4401
ADAMTS3	5240
ADAMTS4	5268
ADAMTS5	6957
ADAMTS6	2626
ADAMTS7	5312
ADAMTS8	3428
ADAMTS9	5615
ADAMTSL1	3971
ADAMTSL2	3689
ADAMTSL3	4812
ADAMTSL4	3672
ADAP1	1335
ADAP2	2077
ADAR	4434
ADARB1	2247
ADARB2	8275
ADAT1	825
ADAT2	3586
ADAT3	1377
ADCK1	1397
ADCK2	2374
ADCK5	1286
ADCY1	12457
ADCY10	4766
ADCY10P1	4369
ADCY2	748
ADCY3	2958
ADCY4	2382
ADCY5	4514
ADCY6	4496
ADCY7	3930
ADCY8	4221
ADCY9	5549
ADCYAP1	2668
ADCYAP1R1	6287
ADD1	3232
ADD2	4585
ADD3	2321
ADGB	747
ADGRA1	3238
ADGRA2	6744
ADGRA3	3064
ADGRB1	1998
ADGRB2	4767
ADGRB3	5890
ADGRE1	2869
ADGRE2	4833
ADGRE3	2149
ADGRE5	2415
ADGRF2	4695
ADGRF3	428
ADGRF4	2962
ADGRF5	5329
ADGRG1	2447
ADGRG2	4312
ADGRG3	2409
ADGRG4	9374
ADGRG5	2136
ADGRG6	5129
ADGRG7	1835
ADGRL1	5125
ADGRL2	3833
ADGRL3	5026
ADGRL4	2993
ADGRV1	9770
ADH1A	1201
ADH1B	1995
ADH1C	1254
ADH4	660
ADH5	1428
ADH6	2602
ADH7	1061
ADHFE1	1022
ADI1	1987
ADIG	458
ADIPOQ	4370
ADIPOR1	1885
ADIPOR2	3434
ADIRF	387
ADK	1142
ADM	1269
ADM2	4069
ADM5	1518
ADNP	4302
ADNP2	4896
ADO	3560
ADORA1	1945
ADORA2A	2017
ADORA2B	1535
ADORA3	1540
ADPGK	1809
ADPRH	2644
ADPRHL1	1360
ADPRHL2	1451
ADPRM	1191
ADRA1A	2767
ADRA1B	2307
ADRA1D	2742
ADRA2A	3679
ADRA2B	3496
ADRA2C	1942
ADRB1	2839
ADRB2	3243
ADRB3	2385
ADRM1	1204
ADSL	1324
ADSS1	1183
ADSS2	2341
ADTRP	1432
AEBP1	3853
AEBP2	1465
AEN	2773
AFAP1	6462
AFAP1L1	2744
AFAP1L2	3548
AFDN	3331
AFF1	4688
AFF2	2706
AFF3	2060
AFF4	4923
AFG1L	1387
AFG3L1P	1168
AFG3L2	2529
AFM	1011
AFMID	850
AFP	778
AFTPH	3240
AGA	1016
AGAP1	2663
AGAP11	1540
AGAP2	2713
AGAP3	1575
AGAP4	1909
AGBL1	3602
AGBL2	1878
AGBL4	1338
AGBL5	2277
AGER	1119
AGFG1	1741
AGFG2	1816
AGGF1	3542
AGK	1770
AGL	6891
AGMAT	2895
AGO1	6938
AGO2	3469
AGO3	3906
AGO4	5968
AGPAT1	1985
AGPAT2	1315
AGPAT3	3667
AGPAT4	5444
AGPAT5	2398
AGPS	2485
AGR2	787
AGR3	391
AGRP	564
AGT	1916
AGTPBP1	3070
AGTR1	2159
AGTR2	2662
AGTRAP	896
AGXT	2438
AGXT2	1236
AHCTF1	6611
AHCY	1893
AHCYL1	3080
AHCYL2	3061
AHDC1	3692
AHI1	2509
AHNAK	16751
AHNAK2	18135
AHR	3465
AHRR	2599
AHSA1	855
AHSA2P	2719
AHSG	1242
AHSP	189
AICDA	1314
AIDA	2585
AIF1	438
AIF1L	3156
AIFM1	2021
AIFM2	2965
AIFM3	1102
AIG1	1321
AIM2	1161
AIMP1	1464
AIMP2	971
AIP	1031
AIPL1	1487
AIRE	2209
AJAP1	5984
AJUBA	3843
AK1	597
AK2	1278
AK3	1686
AK4	2662
AK5	3080
AK7	1936
AK8	1214
AK9	1601
AKAP1	3053
AKAP10	2583
AKAP11	9715
AKAP12	6734
AKAP13	5466
AKAP14	721
AKAP17A	2948
AKAP3	1031
AKAP4	1637
AKAP5	6287
AKAP6	6589
AKAP7	1990
AKAP8	3289
AKAP8L	1597
AKAP9	7389
AKIP1	730
AKIRIN1	2315
AKIRIN2	1553
AKNA	4839
AKR1A1	906
AKR1B1	1072
AKR1B10	1419
AKR1C1	1081
AKR1C2	995
AKR1C3	923
AKR1C4	1103
AKR1D1	1162
AKR1E2	766
AKR7A2	1155
AKR7A2P1	715
AKR7A3	1015
AKR7L	796
AKT1	2500
AKT1S1	1782
AKT2	1603
AKT3	2102
AKTIP	1009
ALAD	2722
ALAS1	2001
ALAS2	1051
ALB	886
ALCAM	3029
ALDH16A1	2110
ALDH18A1	3027
ALDH1A1	1682
ALDH1A2	2036
ALDH1A3	3269
ALDH1B1	2704
ALDH1L1	2372
ALDH1L2	6205
ALDH2	1585
ALDH3A1	1468
ALDH3A2	2597
ALDH3B1	2529
ALDH3B2	1788
ALDH4A1	2516
ALDH5A1	3993
ALDH6A1	3346
ALDH7A1	1309
ALDH8A1	1307
ALDH9A1	2472
ALDOA	1302
ALDOB	2220
ALDOC	1412
ALG1	1913
ALG10	1291
ALG10B	3854
ALG12	2693
ALG13	1096
ALG14	2288
ALG1L	596
ALG2	1934
ALG3	1244
ALG5	1009
ALG6	2089
ALG8	1323
ALG9	1554
ALK	1990
ALKBH1	2019
ALKBH2	780
ALKBH3	1149
ALKBH4	1826
ALKBH5	2959
ALKBH6	826
ALKBH7	747
ALKBH8	3678
ALLC	1145
ALMS1	10637
ALMS1P1	2705
ALOX12	2192
ALOX12B	468
ALOX12P2	1745
ALOX15	2477
ALOX15B	2497
ALOX5	2177
ALOX5AP	704
ALOXE3	1226
ALPG	2292
ALPI	2361
ALPK1	3190
ALPK2	6198
ALPK3	10717
ALPL	2309
ALPP	1762
ALS2	3387
ALX1	1132
ALX3	1755
ALX4	5527
ALYREF	896
AMACR	1793
AMBN	1797
AMBP	1039
AMBRA1	2611
AMD1	2526
AMDHD1	709
AMDHD2	1411
AMELX	588
AMELY	587
AMER1	8207
AMER2	9855
AMER3	2474
AMFR	2659
AMH	1545
AMHR2	1441
AMIGO1	4125
AMMECR1	5012
AMMECR1L	4458
AMN	792
AMN1	682
AMOT	3185
AMOTL1	8441
AMOTL2	4185
AMPD1	1124
AMPD2	3340
AMPD3	2953
AMPH	2650
AMT	1694
AMY1A	214
AMY1C	1437
AMY2A	1434
AMY2B	1386
AMZ1	4487
AMZ2	1253
AMZ2P1	1295
ANAPC1	4410
ANAPC10	656
ANAPC11	454
ANAPC13	1165
ANAPC15	616
ANAPC16	1167
ANAPC2	1929
ANAPC4	2062
ANAPC5	1914
ANAPC7	1830
ANG	1022
ANGEL1	3837
ANGEL2	1671
ANGPT1	2414
ANGPT2	2840
ANGPT4	4492
ANGPTL1	1399
ANGPTL2	3015
ANGPTL3	1155
ANGPTL4	1659
ANGPTL6	1581
ANGPTL7	2024
ANGPTL8	560
ANK1	6798
ANK2	4509
ANK3	5034
ANKAR	960
ANKEF1	3846
ANKFN1	3640
ANKFY1	6040
ANKH	2089
ANKHD1	3401
ANKIB1	2602
ANKLE1	2480
ANKLE2	3164
ANKMY1	1766
ANKMY2	2046
ANKRA2	1163
ANKRD1	1779
ANKRD10	1119
ANKRD11	2909
ANKRD12	2005
ANKRD13A	2664
ANKRD13B	2487
ANKRD13C	2889
ANKRD16	1580
ANKRD17	7560
ANKRD19P	1699
ANKRD2	872
ANKRD20A1	3561
ANKRD22	2999
ANKRD23	1532
ANKRD24	3706
ANKRD26	6070
ANKRD26P1	1704
ANKRD27	3447
ANKRD28	2950
ANKRD29	1629
ANKRD30A	4205
ANKRD30BP2	1522
ANKRD35	2893
ANKRD36B	1896
ANKRD36BP1	1389
ANKRD39	692
ANKRD40	3911
ANKRD40CL	877
ANKRD44	2666
ANKRD46	1168
ANKRD49	1210
ANKRD50	6743
ANKRD53	1441
ANKRD54	1814
ANKRD55	1640
ANKRD6	2844
ANKRD60	838
ANKRD62P1-PARP4P3	1423
ANKRD7	591
ANKRD9	2526
ANKS1A	5230
ANKS1B	851
ANKS3	1328
ANKS6	3814
ANKZF1	1905
ANLN	3099
ANO1	2654
ANO10	1829
ANO2	1114
ANO3	2459
ANO4	1124
ANO5	6451
ANO6	5163
ANO7	1742
ANO8	3978
ANOS1	4310
ANP32A	1050
ANP32B	1271
ANP32C	505
ANP32D	758
ANP32E	2115
ANPEP	3145
ANTKMT	528
ANTXR1	5066
ANTXR2	2337
ANTXRL	238
ANXA1	1195
ANXA10	1241
ANXA11	1040
ANXA13	1256
ANXA2	1231
ANXA2P1	726
ANXA2P2	820
ANXA2P3	808
ANXA3	1222
ANXA4	965
ANXA5	1382
ANXA6	1941
ANXA7	1473
ANXA9	1351
AOAH	1904
AOC1	2418
AOC2	2477
AOC3	3783
AOC4P	1873
AOPEP	1456
AOX1	4274
AP1AR	1763
AP1B1	3750
AP1B1P1	627
AP1G1	4580
AP1G2	1805
AP1M1	1788
AP1M2	1543
AP1S1	1003
AP1S2	1601
AP1S3	1418
AP2A1	3182
AP2A2	2539
AP2B1	4591
AP2M1	1732
AP2S1	695
AP3B1	3670
AP3B2	3096
AP3D1	3736
AP3M1	2786
AP3M2	2480
AP3S1	1058
AP3S2	1371
AP4B1	2205
AP4E1	6295
AP4M1	1243
AP4S1	1747
AP5B1	6780
AP5M1	2192
AP5S1	2404
AP5Z1	2481
APAF1	5620
APBA1	1953
APBA2	1166
APBA3	1832
APBB1	2306
APBB1IP	2396
APBB2	2809
APBB3	1479
APC	4762
APC2	9951
APCDD1	2194
APCDD1L	3687
APCS	725
APEH	2016
APEX1	1216
APEX2	2653
APH1A	1787
APH1B	1938
API5	2679
APIP	991
APLF	3168
APLN	3024
APLNR	3024
APLP1	1023
APLP2	2726
APMAP	2001
APOA1	727
APOA2	294
APOA4	1271
APOA5	1697
APOB	6665
APOBEC1	677
APOBEC2	951
APOBEC3A	1158
APOBEC3B	1399
APOBEC3C	2407
APOBEC3D	2039
APOBEC3F	2230
APOBEC3G	1272
APOBEC3H	724
APOBR	3565
APOC1	309
APOC1P1	230
APOC2	304
APOC3	273
APOC4	292
APOD	682
APOE	958
APOF	1550
APOH	974
APOL1	2317
APOL2	1848
APOL3	1729
APOL4	2726
APOL5	1238
APOL6	9865
APOLD1	4395
APOM	509
APOO	668
APOOL	6280
APP	2649
APPBP2	3300
APPL1	3764
APPL2	2698
APRT	581
APTX	1282
AQP1	2605
AQP10	1614
AQP2	2048
AQP3	1626
AQP4	3519
AQP5	1249
AQP6	2119
AQP7	843
AQP8	1076
AQP9	1855
AQR	6605
AR	10283
ARAF	2139
ARAP1	4092
ARAP2	5764
ARAP3	4438
ARC	2349
ARCN1	3360
AREG	1030
AREL1	3955
ARF1	1597
ARF3	2304
ARF4	1104
ARF5	713
ARF6	3675
ARFGAP1	2372
ARFGAP2	1668
ARFGAP3	2014
ARFGEF1	5190
ARFGEF2	8568
ARFGEF3	14659
ARFIP1	1621
ARFIP2	1514
ARFRP1	1415
ARG1	1247
ARG2	1467
ARGLU1	1741
ARHGAP1	3142
ARHGAP10	3050
ARHGAP11A	2544
ARHGAP11B	933
ARHGAP12	3993
ARHGAP15	1293
ARHGAP17	1909
ARHGAP18	3662
ARHGAP19	5235
ARHGAP20	5584
ARHGAP21	4778
ARHGAP22	1313
ARHGAP23	4201
ARHGAP24	1924
ARHGAP25	2564
ARHGAP26	4028
ARHGAP27	2620
ARHGAP28	2929
ARHGAP29	5063
ARHGAP31	7398
ARHGAP32	4821
ARHGAP33	1425
ARHGAP35	8262
ARHGAP36	2177
ARHGAP39	4475
ARHGAP4	2953
ARHGAP42	3288
ARHGAP44	3349
ARHGAP45	3895
ARHGAP5	4613
ARHGAP6	3774
ARHGAP8	1365
ARHGAP9	1027
ARHGDIA	1498
ARHGDIB	964
ARHGDIG	764
ARHGEF1	2663
